PD to Conway Tangles Results;
[ -5  -1  0 ],5/-6,6,-5/6,-[5 1 0],5/6, [5 1 0],;
[ 4  2  0 ],4/9,-2,4/9, [4 2 0],-4/9,-[4 2 0],;
[ -4  -2  0 ],4/-9,2,-4/9,-[4 2 0],4/9, [4 2 0],;
[ 4  1  1 ],9/5,-4,9/5, [4 1 1],-9/5,-[4 1 1],;
[ -4  -1  -1 ],9/-5,2,-9/5,-[4 1 1],9/5, [4 1 1],;
[ 3  3  0 ],3/10,-6,3/10, [3 3 0],-3/10,-[3 3 0],;
[ -3  -3  0 ],3/-10,6,-3/10,-[3 3 0],3/10, [3 3 0],;
[ 3  2  1 ],10/7,-6,10/7, [3 2 1],-10/7,-[3 2 1],;
[ -3  -2  -1 ],10/-7,6,-10/7,-[3 2 1],10/7, [3 2 1],;
[ 3  1  2 ],11/4,-6,11/4, [3 1 2],-11/4,-[3 1 2],;
[ -3  -1  -2 ],11/-4,6,-11/4,-[3 1 2],11/4, [3 1 2],;
[ 3  1  1  1  0 ],7/11,-6,N((3/4)(-1/1 * 1/1)), N((3/4)-Potentially non-Montesinos;
[ -3  -1  -1  -1  0 ],7/-11,4,N((-1/1 * -1/1)(-1/1 + -3/1)), N(-Potentially non-Montesinos;
