[ 3  1  1  3  0 ]	7/25
[ -3  -1  -1  -3  0 ]	7/-25
[ 3  1  1  2  1 ]	25/18
[ -3  -1  -1  -2  -1 ]	25/-18
[ 3  1  1  1  2 ]	29/11
[ -3  -1  -1  -1  -2 ]	29/-11
[ 3  1  1  1  1  1  0 ]	18/29
[ -3  -1  -1  -1  -1  -1  0 ]	18/-29
[ 2  6  0 ]	2/13
[ -2  -6  0 ]	2/-13
[ 2  5  1 ]	13/11
[ -2  -5  -1 ]	13/-11
[ 2  4  2 ]	20/9
[ -2  -4  -2 ]	20/-9
[ 2  4  1  1  0 ]	11/20
[ -2  -4  -1  -1  0 ]	11/-20
[ 2  3  3 ]	23/7
[ -2  -3  -3 ]	23/-7
[ 2  3  2  1  0 ]	16/23
[ -2  -3  -2  -1  0 ]	16/-23
[ 2  3  1  2  0 ]	9/25
[ -2  -3  -1  -2  0 ]	9/-25
[ 2  3  1  1  1 ]	25/16
[ -2  -3  -1  -1  -1 ]	25/-16
[ 2  2  4 ]	22/5
[ -2  -2  -4 ]	22/-5
[ 2  2  3  1  0 ]	17/22
[ -2  -2  -3  -1  0 ]	17/-22
[ 2  2  2  2  0 ]	12/29
[ -2  -2  -2  -2  0 ]	12/-29
[ 2  2  2  1  1 ]	29/17
[ -2  -2  -2  -1  -1 ]	29/-17
[ 2  2  1  3  0 ]	7/26
[ -2  -2  -1  -3  0 ]	7/-26
[ 2  2  1  2  1 ]	26/19
[ -2  -2  -1  -2  -1 ]	26/-19
[ 2  2  1  1  2 ]	31/12
[ -2  -2  -1  -1  -2 ]	31/-12
[ 2  2  1  1  1  1  0 ]	19/31
[ -2  -2  -1  -1  -1  -1  0 ]	19/-31
[ 2  1  5 ]	17/3
[ -2  -1  -5 ]	17/-3
[ 2  1  4  1  0 ]	14/17
[ -2  -1  -4  -1  0 ]	14/-17
[ 2  1  3  2  0 ]	11/25
[ -2  -1  -3  -2  0 ]	11/-25
[ 2  1  3  1  1 ]	25/14
[ -2  -1  -3  -1  -1 ]	25/-14
[ 2  1  2  3  0 ]	8/27
[ -2  -1  -2  -3  0 ]	8/-27
[ 2  1  2  2  1 ]	27/19
[ -2  -1  -2  -2  -1 ]	27/-19
[ 2  1  2  1  2 ]	30/11
[ -2  -1  -2  -1  -2 ]	30/-11
[ 2  1  2  1  1  1  0 ]	19/30
[ -2  -1  -2  -1  -1  -1  0 ]	19/-30
[ 2  1  1  4  0 ]	5/23
[ -2  -1  -1  -4  0 ]	5/-23
[ 2  1  1  3  1 ]	23/18
[ -2  -1  -1  -3  -1 ]	23/-18
[ 2  1  1  2  2 ]	31/13
[ -2  -1  -1  -2  -2 ]	31/-13
[ 2  1  1  2  1  1  0 ]	18/31
[ -2  -1  -1  -2  -1  -1  0 ]	18/-31
[ 2  1  1  1  3 ]	29/8
[ -2  -1  -1  -1  -3 ]	29/-8
[ 2  1  1  1  2  1  0 ]	21/29
[ -2  -1  -1  -1  -2  -1  0 ]	21/-29
[ 2  1  1  1  1  2  0 ]	13/34
[ -2  -1  -1  -1  -1  -2  0 ]	13/-34
[ 2  1  1  1  1  1  1 ]	34/21
[ -2  -1  -1  -1  -1  -1  -1 ]	34/-21
[ 1  7  0 ]	1/8
[ -1  -7  0 ]	1/-8
[ 1  6  1 ]	8/7
[ -1  -6  -1 ]	8/-7
[ 1  5  2 ]	13/6
[ -1  -5  -2 ]	13/-6
[ 1  5  1  1  0 ]	7/13
[ -1  -5  -1  -1  0 ]	7/-13
[ 1  4  3 ]	16/5
[ -1  -4  -3 ]	16/-5
[ 1  4  2  1  0 ]	11/16
[ -1  -4  -2  -1  0 ]	11/-16
[ 1  4  1  2  0 ]	6/17
[ -1  -4  -1  -2  0 ]	6/-17
[ 1  4  1  1  1 ]	17/11
[ -1  -4  -1  -1  -1 ]	17/-11
[ 1  3  4 ]	17/4
[ -1  -3  -4 ]	17/-4
[ 1  3  3  1  0 ]	13/17
[ -1  -3  -3  -1  0 ]	13/-17
[ 1  3  2  2  0 ]	9/22
[ -1  -3  -2  -2  0 ]	9/-22
[ 1  3  2  1  1 ]	22/13
[ -1  -3  -2  -1  -1 ]	22/-13
[ 1  3  1  3  0 ]	5/19
[ -1  -3  -1  -3  0 ]	5/-19
[ 1  3  1  2  1 ]	19/14
[ -1  -3  -1  -2  -1 ]	19/-14
[ 1  3  1  1  2 ]	23/9
